INFO  | 04/05/2026 12:37:33 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -228.78 (eps: 0.367)
INFO  | 04/05/2026 12:38:02 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -208.66 (eps: 0.286)
INFO  | 04/05/2026 12:38:25 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -171.62 (eps: 0.222)
INFO  | 04/05/2026 12:38:47 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -164.30 (eps: 0.173)
INFO  | 04/05/2026 12:39:08 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -153.86 (eps: 0.135)
INFO  | 04/05/2026 12:39:26 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -137.92 (eps: 0.105)
INFO  | 04/05/2026 12:39:43 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -126.98 (eps: 0.082)
INFO  | 04/05/2026 12:39:43 PM | File rl_runner.py         | Line 125   | [Seed 48] Done. Final avg(last 50): -126.98
INFO  | 04/05/2026 12:39:43 PM | File rl_runner.py         | Line 121   | [Seed 49] (8/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:39:44 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:39:45 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:39:46 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:39:47 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:39:48 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:40:44 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -497.26 (eps: 0.778)
INFO  | 04/05/2026 12:41:46 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -498.86 (eps: 0.606)
INFO  | 04/05/2026 12:42:27 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -314.72 (eps: 0.471)
INFO  | 04/05/2026 12:43:06 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -290.14 (eps: 0.367)
INFO  | 04/05/2026 12:43:34 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -218.50 (eps: 0.286)
INFO  | 04/05/2026 12:44:04 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -231.62 (eps: 0.222)
