INFO  | 04/05/2026 12:15:27 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 19/30: Acc = 0.9874
INFO  | 04/05/2026 12:15:39 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 20/30: Acc = 0.9875
INFO  | 04/05/2026 12:15:51 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 21/30: Acc = 0.9890
INFO  | 04/05/2026 12:16:02 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 22/30: Acc = 0.9889
INFO  | 04/05/2026 12:16:14 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 23/30: Acc = 0.9891
INFO  | 04/05/2026 12:16:26 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 24/30: Acc = 0.9900
INFO  | 04/05/2026 12:16:37 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 25/30: Acc = 0.9904
INFO  | 04/05/2026 12:16:49 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 26/30: Acc = 0.9895
INFO  | 04/05/2026 12:17:01 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 27/30: Acc = 0.9902
INFO  | 04/05/2026 12:17:13 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 28/30: Acc = 0.9904
INFO  | 04/05/2026 12:17:24 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 29/30: Acc = 0.9904
INFO  | 04/05/2026 12:17:36 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 30/30: Acc = 0.9903
INFO  | 04/05/2026 12:17:36 PM | File mixer_runner.py      | Line 169   | [Seed 45] Done. Best Acc: 0.9904
INFO  | 04/05/2026 12:17:36 PM | File mixer_runner.py      | Line 163   | [Seed 46] (5/5) Training StandardMLPMixer for 30 epochs...
INFO  | 04/05/2026 12:17:48 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 1/30: Acc = 0.9586
INFO  | 04/05/2026 12:18:00 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 2/30: Acc = 0.9693
INFO  | 04/05/2026 12:18:11 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 3/30: Acc = 0.9753
INFO  | 04/05/2026 12:18:23 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 4/30: Acc = 0.9782
INFO  | 04/05/2026 12:18:35 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 5/30: Acc = 0.9812
INFO  | 04/05/2026 12:18:46 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 6/30: Acc = 0.9836
INFO  | 04/05/2026 12:18:58 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 7/30: Acc = 0.9821
INFO  | 04/05/2026 12:19:09 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 8/30: Acc = 0.9852
INFO  | 04/05/2026 12:19:21 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 9/30: Acc = 0.9859
INFO  | 04/05/2026 12:19:32 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 10/30: Acc = 0.9851
