INFO  | 04/05/2026 12:14:45 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 12:14:45 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 12:15:06 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 12:15:31 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:15:55 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:16:20 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:16:45 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 12:17:11 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 12:17:36 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -200.00 (eps: 0.173)
INFO  | 04/05/2026 12:18:01 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -199.12 (eps: 0.135)
INFO  | 04/05/2026 12:18:26 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -195.80 (eps: 0.105)
INFO  | 04/05/2026 12:18:47 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -163.66 (eps: 0.082)
INFO  | 04/05/2026 12:18:47 PM | File rl_runner.py         | Line 125   | [Seed 47] Done. Final avg(last 50): -163.66
INFO  | 04/05/2026 12:18:47 PM | File rl_runner.py         | Line 121   | [Seed 48] (7/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:18:48 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 12:18:48 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 12:18:49 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 12:18:49 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
