INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 121 | Val MSE = 0.650670
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 122 | Val MSE = 0.658367
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 123 | Val MSE = 0.673383
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 124 | Val MSE = 0.667789
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 125 | Val MSE = 0.665894
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 126 | Val MSE = 0.681529
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 127 | Val MSE = 0.690157
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 128 | Val MSE = 0.674781
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 129 | Val MSE = 0.675426
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 130 | Val MSE = 0.666956
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 131 | Val MSE = 0.666095
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 132 | Val MSE = 0.657585
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 133 | Val MSE = 0.657586
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 134 | Val MSE = 0.661084
INFO  | 04/08/2026 09:54:49 AM | File experiment_runner.py | Line 211   | Epoch 135 | Val MSE = 0.669454
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 136 | Val MSE = 0.666225
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 137 | Val MSE = 0.659626
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 138 | Val MSE = 0.652741
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 139 | Val MSE = 0.666486
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 140 | Val MSE = 0.676703
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 141 | Val MSE = 0.670440
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 142 | Val MSE = 0.658333
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 143 | Val MSE = 0.659348
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 144 | Val MSE = 0.661624
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 145 | Val MSE = 0.666594
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 146 | Val MSE = 0.665762
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 147 | Val MSE = 0.663149
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 148 | Val MSE = 0.662637
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 149 | Val MSE = 0.668625
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 150 | Val MSE = 0.668264
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 151 | Val MSE = 0.656834
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 152 | Val MSE = 0.657012
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 153 | Val MSE = 0.665451
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 154 | Val MSE = 0.653508
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 155 | Val MSE = 0.654385
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 156 | Val MSE = 0.657612
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 157 | Val MSE = 0.662452
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 158 | Val MSE = 0.649790
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 159 | Val MSE = 0.661787
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 160 | Val MSE = 0.657283
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 161 | Val MSE = 0.657475
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 162 | Val MSE = 0.654615
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 163 | Val MSE = 0.653655
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 164 | Val MSE = 0.667618
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 165 | Val MSE = 0.669798
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 166 | Val MSE = 0.665113
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 167 | Val MSE = 0.653639
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 168 | Val MSE = 0.657689
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 169 | Val MSE = 0.653484
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 170 | Val MSE = 0.639775
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 171 | Val MSE = 0.652470
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 172 | Val MSE = 0.664714
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 173 | Val MSE = 0.660643
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 174 | Val MSE = 0.665573
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 175 | Val MSE = 0.660495
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 176 | Val MSE = 0.661687
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 177 | Val MSE = 0.655155
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 178 | Val MSE = 0.665058
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 179 | Val MSE = 0.661721
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 180 | Val MSE = 0.657218
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 181 | Val MSE = 0.649311
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 182 | Val MSE = 0.652357
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 183 | Val MSE = 0.662520
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 184 | Val MSE = 0.662170
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 185 | Val MSE = 0.657323
INFO  | 04/08/2026 09:54:50 AM | File experiment_runner.py | Line 211   | Epoch 186 | Val MSE = 0.664340
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 187 | Val MSE = 0.646961
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 188 | Val MSE = 0.648701
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 189 | Val MSE = 0.642675
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 190 | Val MSE = 0.647839
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 191 | Val MSE = 0.657148
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 192 | Val MSE = 0.650943
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 193 | Val MSE = 0.646193
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 194 | Val MSE = 0.654426
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 195 | Val MSE = 0.660243
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 196 | Val MSE = 0.653974
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 197 | Val MSE = 0.657906
INFO  | 04/08/2026 09:54:51 AM | File experiment_runner.py | Line 211   | Epoch 198 | Val MSE = 0.647963
