exp_name,task_type,model,dataset,metric,selection,config_signature,audit_status,raw_row_count,seed_count,seeds,values,mean,sample_sd,population_sd,min,max,identical_duplicate_rows,conflicting_seed_count,notes
mixer_mnist_2arg,mixer,InnerNetMLPMixer,mnist,final_val_accuracy,final_recorded_epoch,28fc69193f7b086b7c0a2768b778abaf1906e82f9a9d3ef8f253b40a7f16a7e3,reportable,5,5,42;43;44;45;46,0.9908;0.9917;0.9899;0.9921;0.9905,0.991,0.000894427191,0.0008,0.9899,0.9921,0,0,
mixer_mnist_gelu,mixer,StandardMLPMixer,mnist,best_val_accuracy,best_over_recorded_epochs,bf42c70551dd65005a4ed8e668e8d29c7a20df5bde586eb378da8a0a759c7592,reportable,5,5,42;43;44;45;46,0.991;0.9904;0.9901;0.9904;0.9894,0.99026,0.00058137767415,0.00052,0.9894,0.991,0,0,
mixer_mnist_gelu,mixer,StandardMLPMixer,mnist,final_val_accuracy,final_recorded_epoch,bf42c70551dd65005a4ed8e668e8d29c7a20df5bde586eb378da8a0a759c7592,reportable,5,5,42;43;44;45;46,0.991;0.9903;0.9899;0.9903;0.9892,0.99014,0.000658027355054,0.000588557558782,0.9892,0.991,0,0,
mlp_cifar_1arg,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,78356af0971f2032093edb64585e8650192e3d8e7b317cd036b87d65b8162b2c,reportable,5,5,1234;42;43;44;45,0.5443;0.5434;0.5354;0.5376;0.5433,0.5408,0.00402057209859,0.00359610900836,0.5354,0.5443,0,0,
mlp_cifar_2arg,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,500630814cd4ddf33d6ec9c3d6af07cf128628123b62d4c3417aa577e741999b,reportable,5,5,1234;42;43;44;45,0.5214;0.5172;0.5205;0.5167;0.5174,0.51864,0.00214778956139,0.00192104138425,0.5167,0.5214,0,0,
mlp_cifar_relu,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,4a84a933fd66d001a2e5a15dd4b6f5944d554ac2c47426c4b7f14ecc422c1154,reportable,5,5,1234;42;43;44;45,0.4931;0.4978;0.4981;0.4937;0.4939,0.49532,0.00242115674833,0.00216554842938,0.4931,0.4981,0,0,
mlp_cifar_relu_ln,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,157ecc42c84686a1b187613c0c6a1e17b295567763a49bee1682dee8baf74386,reportable,4,4,42;43;44;45,0.5124;0.5109;0.5124;0.5142,0.512475,0.00135,0.00116913429511,0.5109,0.5142,0,0,
mlp_cifar_scale_2arg_w128,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,f9236a2a61436ec2eb34559ef07d609f6b065f6f1719a8d473ca8c184f965c88,reportable,5,5,1234;42;43;44;45,0.5204;0.5178;0.5198;0.52;0.5244,0.52048,0.00241080899285,0.00215629311551,0.5178,0.5244,0,0,
mlp_cifar_scale_2arg_w256,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,7834c3c75289e2290ce9c33eb256618834742108247b9b8e205661834d29da39,reportable,5,5,1234;42;43;44;45,0.5452;0.5485;0.5425;0.5544;0.5505,0.54822,0.00461811649918,0.00413056896807,0.5425,0.5544,0,0,
mlp_cifar_scale_2arg_w32,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,f8e46af2b0f2ef7da9f53ba051f0886394e3ec77ec3bba911efb0f518b1fae8e,reportable,5,5,1234;42;43;44;45,0.388;0.3917;0.3926;0.3716;0.3731,0.3834,0.0102471947381,0.0091653696052,0.3716,0.3926,0,0,
mlp_cifar_scale_2arg_w512,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,6a4f659f15e5c7e245c818a4d2572ee8e542a247f84fe18d6d5705ffca9296bd,reportable,5,5,1234;42;43;44;45,0.5515;0.5571;0.5599;0.5516;0.5615,0.55632,0.00463055072319,0.00414169047612,0.5515,0.5615,0,0,
mlp_cifar_scale_2arg_w64,classification,XorNeuronMLP,cifar10,test_accuracy,reported_scalar,d4cc471f1616a4df5e941a7b20a108092ddb36f238dbe653d3489a05da224dee,reportable,5,5,1234;42;43;44;45,0.4713;0.4787;0.4739;0.481;0.478,0.47658,0.00390858030492,0.00349594050293,0.4713,0.481,0,0,
mlp_cifar_scale_relu_w128,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,572a9f5ef25233b1b8e949884e9ee95bac3f935470915325efb4a818dcbf1110,reportable,5,5,1234;42;43;44;45,0.5022;0.4969;0.4973;0.4973;0.5,0.49874,0.00229630137395,0.00205387438759,0.4969,0.5022,0,0,
mlp_cifar_scale_relu_w256,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,cd2c8435887bc88c563ae80a19e552006a89ab5f13a0d83e49d35fe16412876d,reportable,5,5,1234;42;43;44;45,0.5176;0.5205;0.5196;0.5235;0.5185,0.51994,0.00227222358055,0.00203233855447,0.5176,0.5235,0,0,
mlp_cifar_scale_relu_w32,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,3542941d9994ec484948fbfc0a20227f7216eb8edf8a3191106ed031bab82de0,reportable,5,5,1234;42;43;44;45,0.3751;0.3841;0.3608;0.385;0.3686,0.37472,0.0103081036083,0.00921984815493,0.3608,0.385,0,0,
mlp_cifar_scale_relu_w512,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,7bdaf1ed256b90821ae5d99e4883e6f4026da5dca1a9468eb12b8a5fec03826d,reportable,5,5,1234;42;43;44;45,0.5233;0.5238;0.5263;0.5262;0.532,0.52632,0.00345499638205,0.00309024270891,0.5233,0.532,0,0,
